review_id,game,aspect,review_text,llm_zeroshot,llm_fewshot,human_label_B
1.0915E+15,Cyberpunk 2077,combat,"Cyberpunk 2077 is a very good story game and I recommend it to everyone. The game offers a huge variety of weapons and advanced technology, and the combat feels excellent and satisfying. The story is one of the strongest parts of the game, and your choices can affect how events unfold. At the beginning you create your character and choose their background, which slightly changes how some situations play out. The world is filled with interesting and crazy characters that make the experience even more memorable. I also highly recommend watching the anime Cyberpunk: Edgerunners before playing. It takes place about a year before the events of the game and adds more depth to the world. Overall: 10/10.","['combat', 'story']","['story', 'combat']","['story', 'combat']"
1.0915E+15,Cyberpunk 2077,combat,"Can't believe I waited on this so long because of the pre-conceived notion that this was broken slop from release and just not of quality; the whole package is very satisfying in every facet. Combat is gratifying, map is surprisingly diverse and layered, and the story is solid--especially the characters, there's a lot of intrigue and actual hard-hitting people and topics covered throughout. Big ups.","['combat', 'story']","['combat', 'story', 'graphics']","['combat', 'story', 'graphics']"
1.0915E+15,Cyberpunk 2077,combat,"ýýýý Recommended Playtime 200+ hours Had a great time with this game. Really enjoyed the whole experience. Night City feels alive and fun to explore. The story is strong, and side quests are just as engaging. Gameplay is flexible. You can play stealth, hacking, or combat. Everything feels smooth and satisfying. Overall, a solid RPG and worth playing.","['story', 'combat', 'controls']","['story', 'combat', 'graphics', 'controls']","[""story"", ""combat""]"
1.0915E+15,Cyberpunk 2077,combat,"One of the best games I have ever played. Mods can make it even more immersive, combat more strategic, and even add extra quests, cars, clothes, cyberware, etc. There is no game on the market right now that matches how gorgeous this game is and how smooth the combat is (for the most part). You will still run into some visual glitches every now and then, but it is few and far between. This game goes on sale pretty often so I would wait for that to buy the game and its incredible DLC.","['combat', 'graphics', 'price']","['combat', 'graphics', 'price']","[""combat"", ""graphics"", ""price""]"
1.0915E+15,Cyberpunk 2077,combat,"This game feels like a massive waste of time. There are too many endings, and most of them arenï¿½ï¿½ï¿½t even satisfying . The limitations are frustrating, and the combat isnï¿½ï¿½ï¿½t very fun or immersive. Overall, it feels extremely overrated. If I could refund it, I definitely would. The character creator is pretty good only because of that I c","['story', 'combat', 'price']","['story', 'combat', 'price']","[""combat"", ""story""]"
1.0915E+15,Cyberpunk 2077,combat,"Cyberpunk 2077 is a stunning achievement in open-world RPG gaming. Night City is one of the most breathtaking, densely detailed game worlds ever created ï¿½ï¿½ï¿½ every neon-lit alley and towering megabuilding feels alive and purposeful. The story is gripping, emotional, and full of unforgettable characters (Johnny Silverhand is an all-timer). The writing tackles heavy themes with surprising nuance, and the side quests are some of the best in the genre ï¿½ï¿½ï¿½ many rival the main storyline in quality. Combat is slick and versatile, letting you hack, shoot, sneak, or slash your way through encounters however you see fit. The RPG progression is deeply satisfying, and the Phantom Liberty expansion elevates everything even further. If you bounced off it at launch, now is the time to come back. CD Projekt Red transformed this game into the experience it was always ","['graphics', 'story', 'combat']","['story', 'graphics', 'combat']","[""graphics"", ""story"", ""combat""]"
1.0915E+15,Cyberpunk 2077,combat,"Best game on mac right now, the graphics are unparalelled , just too good, and they really improved on the story line, another thing would be their first person combat, highly satisfying and realistic,","['graphics', 'story', 'combat']","['graphics', 'story', 'combat']","[""graphics"", ""story"", ""combat""]"
1.0915E+15,Cyberpunk 2077,combat,"Absolute master-class game compared to how it was at launch. The environment is artistically detailed, the combat is smooth, the progression feels natural. The dialogue and story is exceptional. Bugs are still present (as in all programs) but I found them to be minor inconveniences or straight up funny. Definitely a highlight of my gaming experience.","['combat', 'story', 'graphics']","['combat', 'story', 'graphics']","[""graphics"", ""combat"", ""story""]"
1.0915E+15,Cyberpunk 2077,combat,"Honestly, what a comeback story. I held off for a while because of all the launch drama, but playing it now with the massive 2.1 updates and Phantom Liberty... itï¿½ï¿½ï¿½s basically a completely different game. Night City is probably the most immersive open world I've ever just wandered around in. If you've got the hardware to push the settings, it is an absolute visual treat (putting my RTX card to the test, and it looks insane). The combat feels super punchy, the skill tree overhaul makes your builds actually matter, and driving through the cityï¿½ï¿½ï¿½especially weaving through traffic on a motorcycleï¿½ï¿½ï¿½is weirdly satisfying. But the real highlight is the story and the characters. They hit way harder than I was expecting. If you're still holding a grudge from 2020, let it go. CDPR actually cooked with these final patches. 100% worth it, especially if you can","['story', 'graphics', 'combat', 'price']","['story', 'graphics', 'combat', 'controls', 'price']","[""graphics"", ""combat"", ""story"", ""price""]"
1.0915E+15,Cyberpunk 2077,combat,"This is probably the best WRPG I've played since Oblivion. The gunplay is satisfying, there's lots of variety in character builds, and tons of side content to do. I enjoyed this game far more than I was expecting, and thoroughly recommend it. 9/10","['combat', 'story', 'controls']","['combat', 'story']","[""combat"", ""story""]"
